,rangoAutovalores,pasos,iters,tiempo
0,25.91211218391877,0.25,580,0.05176544189453125
1,114.9028816141618,0.25,2427,0.18170833587646484
2,231.3491313703673,0.25,2425,0.11243605613708496
3,419.515993577398,0.25,1821,0.05528521537780762
4,657.7491853432172,0.25,4462,0.1466832160949707
5,857.6877459648322,0.25,2979,0.09665155410766602
6,1483.8273551191069,0.25,18855,0.5924785137176514
7,2030.7927391811345,0.25,2356,0.07216811180114746
8,2117.6608559459,0.25,1342,0.04361391067504883
9,2735.6513281345874,0.25,2899,0.1006312370300293
10,3231.856718710456,0.25,9462,0.3051316738128662
11,3320.067373794032,0.25,4106,0.12646937370300293
12,4044.9189198031327,0.25,3892,0.1181037425994873
13,4541.979730787354,0.25,8914,0.2998466491699219
14,5358.327269968615,0.25,1161,0.0353851318359375
15,7158.959193446376,0.25,2381,0.07438373565673828
16,7877.898881542444,0.25,1465,0.036888837814331055
17,8992.498293699038,0.25,2315,0.06316280364990234
18,9424.779561917385,0.25,1421,0.03279685974121094
19,10671.350946713224,0.25,23700,0.6573107242584229
20,10861.256262531591,0.25,2423,0.07030844688415527
21,11751.706248520317,0.25,1152,0.053293704986572266
22,12800.039012785635,0.25,4775,0.15840959548950195
23,17306.77911561314,0.25,2253,0.06924724578857422
24,15572.16801761354,0.25,1269,0.04593920707702637
25,15947.106877596778,0.25,2414,0.12254023551940918
26,16952.596051441335,0.25,2316,0.07812309265136719
27,22269.913064011296,0.25,1896,0.032124996185302734
28,17898.90024658939,0.25,872,0.014729022979736328
29,25451.95513079813,0.25,20449,0.40587306022644043
30,21442.82282836756,0.25,9907,0.18527722358703613
31,22866.662767526723,0.25,2456,0.040547847747802734
32,29421.98039366646,0.25,5254,0.18201899528503418
33,28416.31998802142,0.25,3063,0.11817693710327148
34,32482.094148988665,0.25,5324,0.1946852207183838
35,30439.878482379267,0.25,2987,0.11152434349060059
36,36281.78295469264,0.25,3772,0.15163087844848633
37,44598.22215255488,0.25,8591,0.22313761711120605
38,44430.80793075602,0.25,6297,0.10645174980163574
39,44235.6972749866,0.25,1867,0.03066420555114746
40,46225.36643657666,0.25,2725,0.050908803939819336
41,43300.752663192725,0.25,3928,0.07096457481384277
42,51779.40865533454,0.25,1539,0.030417203903198242
43,48617.3100197145,0.25,6107,0.12374091148376465
44,43795.82812082818,0.25,2711,0.04996228218078613
45,56007.08648827573,0.25,6333,0.11528587341308594
46,63375.48297169563,0.25,2140,0.04044747352600098
47,60020.05025725486,0.25,1337,0.02229452133178711
48,55493.78230711984,0.25,69133,1.4528119564056396
49,65691.75405908842,0.25,12690,0.2294018268585205
50,70651.57771927558,0.25,39008,1.0025510787963867
51,68720.84797851573,0.25,19593,0.4653456211090088
52,89196.90706656872,0.25,3901,0.14803481101989746
53,79303.0433598429,0.25,3627,0.09916186332702637
54,63349.11791913951,0.25,3132,0.05153369903564453
55,81263.30013437448,0.25,5572,0.0933370590209961
56,78197.41573625033,0.25,7964,0.1621565818786621
57,75342.32508211334,0.25,2621,0.04305100440979004
58,97759.56200277428,0.25,10555,0.1868891716003418
59,93491.66435369175,0.25,3321,0.09505367279052734
60,82757.73824998751,0.25,2706,0.10618066787719727
61,100222.89322979488,0.25,2005,0.03806662559509277
62,94324.77363040773,0.25,3541,0.05871009826660156
63,114779.97945419914,0.25,2363,0.0501704216003418
64,123855.97005796654,0.25,4733,0.11725211143493652
65,112881.37768309392,0.25,2761,0.045961618423461914
66,101807.21241214182,0.25,2548,0.04168128967285156
67,119184.15891764652,0.25,7185,0.11799955368041992
68,120823.88937780198,0.25,7404,0.2271568775177002
69,103765.01338364932,0.25,1096,0.04221940040588379
70,120845.29258845268,0.25,7808,0.17915892601013184
71,160969.831277606,0.25,2073,0.034528493881225586
72,152176.41098457723,0.25,4002,0.07507586479187012
73,142301.88553298527,0.25,18834,0.381345272064209
74,148110.64418963238,0.25,3866,0.06430721282958984
75,148112.2485348474,0.25,5632,0.0964503288269043
76,158142.71136584843,0.25,3021,0.055908203125
77,177328.1846003543,0.25,13592,0.3264904022216797
78,155587.11073547354,0.25,180001,3.710644483566284
79,144442.71623412424,0.25,6207,0.11745381355285645
80,149376.98800776032,0.25,12933,0.2272953987121582
81,170418.35140165203,0.25,10282,0.16851377487182617
82,150730.83413742695,0.25,22165,0.5222492218017578
83,169217.22667594525,0.25,14572,0.2633848190307617
84,163505.22215288918,0.25,2669,0.04797053337097168
85,176709.622809962,0.25,2633,0.04689168930053711
86,185721.75304296688,0.25,5340,0.09881019592285156
87,244590.2456101976,0.25,3167,0.05458235740661621
88,207626.6687354229,0.25,7440,0.15542316436767578
89,188212.0134939497,0.25,1401,0.02413773536682129
90,230315.8144048959,0.25,6839,0.12805771827697754
91,224615.3735982258,0.25,4170,0.06782031059265137
92,223463.51116008693,0.25,10038,0.18915224075317383
93,188823.3652396909,0.25,6570,0.10871601104736328
94,238622.3307053795,0.25,7559,0.14055824279785156
95,207126.78101130005,0.25,5882,0.09647870063781738
96,204013.8868348868,0.25,2283,0.03718876838684082
97,220471.82244227792,0.25,1745,0.05311131477355957
98,278204.0083830989,0.25,4556,0.14400243759155273
99,339131.4913032096,0.25,1644,0.060965538024902344
100,25.91211218391877,0.5,370,0.013407230377197266
101,114.9028816141618,0.5,1446,0.054882049560546875
102,231.3491313703673,0.5,1452,0.03983807563781738
103,419.515993577398,0.5,943,0.016231775283813477
104,657.7491853432172,0.5,2547,0.04197859764099121
105,857.6877459648322,0.5,1510,0.02449202537536621
106,1483.8273551191069,0.5,6206,0.13717055320739746
107,2030.7927391811345,0.5,1094,0.021745681762695312
108,2117.6608559459,0.5,632,0.010261297225952148
109,2735.6513281345874,0.5,1666,0.02894115447998047
110,3231.856718710456,0.5,5244,0.08698844909667969
111,3320.067373794032,0.5,2550,0.04361248016357422
112,4044.9189198031327,0.5,1973,0.032267093658447266
113,4541.979730787354,0.5,4671,0.07923746109008789
114,5358.327269968615,0.5,674,0.012134075164794922
115,7158.959193446376,0.5,1231,0.021208524703979492
116,7877.898881542444,0.5,817,0.013582468032836914
117,8992.498293699038,0.5,1211,0.019839048385620117
118,9424.779561917385,0.5,764,0.012463569641113281
119,10671.350946713224,0.5,8666,0.1508474349975586
120,10861.256262531591,0.5,1115,0.0182492733001709
121,11751.706248520317,0.5,797,0.013103485107421875
122,12800.039012785635,0.5,2496,0.040943145751953125
123,17306.77911561314,0.5,1163,0.041297197341918945
124,15572.16801761354,0.5,725,0.026215553283691406
125,15947.106877596778,0.5,1143,0.04466414451599121
126,16952.596051441335,0.5,1242,0.03516888618469238
127,22269.913064011296,0.5,1204,0.01993393898010254
128,17898.90024658939,0.5,472,0.00903940200805664
129,25451.95513079813,0.5,9910,0.19290375709533691
130,21442.82282836756,0.5,4548,0.08716273307800293
131,22866.662767526723,0.5,1124,0.01915597915649414
132,29421.98039366646,0.5,2774,0.04623556137084961
133,28416.31998802142,0.5,1509,0.03254127502441406
134,32482.094148988665,0.5,2970,0.054486751556396484
135,30439.878482379267,0.5,1649,0.033808231353759766
136,36281.78295469264,0.5,2156,0.07026934623718262
137,44598.22215255488,0.5,3104,0.060776710510253906
138,44430.80793075602,0.5,3407,0.05944204330444336
139,44235.6972749866,0.5,956,0.028901100158691406
140,46225.36643657666,0.5,1232,0.029304027557373047
141,43300.752663192725,0.5,1742,0.03353595733642578
142,51779.40865533454,0.5,747,0.012428522109985352
143,48617.3100197145,0.5,2945,0.0488123893737793
144,43795.82812082818,0.5,1515,0.029227733612060547
145,56007.08648827573,0.5,2480,0.051193952560424805
146,63375.48297169563,0.5,1130,0.04273223876953125
147,60020.05025725486,0.5,747,0.02842569351196289
148,55493.78230711984,0.5,37388,0.6969866752624512
149,65691.75405908842,0.5,5475,0.10006451606750488
150,70651.57771927558,0.5,27969,0.6349983215332031
151,68720.84797851573,0.5,9743,0.19618487358093262
152,89196.90706656872,0.5,2089,0.03467297554016113
153,79303.0433598429,0.5,1994,0.03803896903991699
154,63349.11791913951,0.5,1513,0.025174379348754883
155,81263.30013437448,0.5,2256,0.04187798500061035
156,78197.41573625033,0.5,4233,0.08686304092407227
157,75342.32508211334,0.5,1615,0.03751540184020996
158,97759.56200277428,0.5,4795,0.12805891036987305
159,93491.66435369175,0.5,1900,0.07987189292907715
160,82757.73824998751,0.5,1327,0.05874896049499512
161,100222.89322979488,0.5,1311,0.04822874069213867
162,94324.77363040773,0.5,1659,0.02789926528930664
163,114779.97945419914,0.5,1364,0.024059772491455078
164,123855.97005796654,0.5,2735,0.04433774948120117
165,112881.37768309392,0.5,1615,0.02619028091430664
166,101807.21241214182,0.5,1330,0.022685527801513672
167,119184.15891764652,0.5,3549,0.06990838050842285
168,120823.88937780198,0.5,4241,0.08373689651489258
169,103765.01338364932,0.5,631,0.02368450164794922
170,120845.29258845268,0.5,4498,0.11326432228088379
171,160969.831277606,0.5,1151,0.02454543113708496
172,152176.41098457723,0.5,1804,0.030884981155395508
173,142301.88553298527,0.5,9464,0.18543434143066406
174,148110.64418963238,0.5,2386,0.039556026458740234
175,148112.2485348474,0.5,2262,0.05273079872131348
176,158142.71136584843,0.5,1480,0.07044529914855957
177,177328.1846003543,0.5,4573,0.12035822868347168
178,155587.11073547354,0.5,75192,1.6091020107269287
179,144442.71623412424,0.5,3079,0.050260305404663086
180,149376.98800776032,0.5,7583,0.14289546012878418
181,170418.35140165203,0.5,6228,0.20784258842468262
182,150730.83413742695,0.5,15144,0.282024621963501
183,169217.22667594525,0.5,6192,0.10888791084289551
184,163505.22215288918,0.5,1539,0.025331974029541016
185,176709.622809962,0.5,1247,0.020641803741455078
186,185721.75304296688,0.5,2601,0.05153155326843262
187,244590.2456101976,0.5,1518,0.024772167205810547
188,207626.6687354229,0.5,3726,0.08938813209533691
189,188212.0134939497,0.5,620,0.028534412384033203
190,230315.8144048959,0.5,2924,0.06287264823913574
191,224615.3735982258,0.5,2148,0.03474140167236328
192,223463.51116008693,0.5,5984,0.10552620887756348
193,188823.3652396909,0.5,3576,0.08343863487243652
194,238622.3307053795,0.5,4277,0.09345388412475586
195,207126.78101130005,0.5,2776,0.0464169979095459
196,204013.8868348868,0.5,1301,0.021707534790039062
197,220471.82244227792,0.5,860,0.014115333557128906
198,278204.0083830989,0.5,2117,0.03447151184082031
199,339131.4913032096,0.5,992,0.016147613525390625
200,25.91211218391877,0.75,299,0.004848480224609375
201,114.9028816141618,0.75,941,0.01540064811706543
202,231.3491313703673,0.75,1132,0.018591880798339844
203,419.515993577398,0.75,634,0.010694503784179688
204,657.7491853432172,0.75,953,0.015649080276489258
205,857.6877459648322,0.75,971,0.017438411712646484
206,1483.8273551191069,0.75,3572,0.06008028984069824
207,2030.7927391811345,0.75,1012,0.016659259796142578
208,2117.6608559459,0.75,444,0.007591724395751953
209,2735.6513281345874,0.75,1139,0.01871633529663086
210,3231.856718710456,0.75,4025,0.06563019752502441
211,3320.067373794032,0.75,855,0.014148950576782227
212,4044.9189198031327,0.75,1565,0.025336503982543945
213,4541.979730787354,0.75,4403,0.07147789001464844
214,5358.327269968615,0.75,470,0.007636070251464844
215,7158.959193446376,0.75,772,0.02774834632873535
216,7877.898881542444,0.75,444,0.016605615615844727
217,8992.498293699038,0.75,730,0.02670907974243164
218,9424.779561917385,0.75,603,0.022647619247436523
219,10671.350946713224,0.75,7264,0.28060150146484375
220,10861.256262531591,0.75,747,0.02765059471130371
221,11751.706248520317,0.75,428,0.016022205352783203
222,12800.039012785635,0.75,1721,0.06508994102478027
223,17306.77911561314,0.75,799,0.029053449630737305
224,15572.16801761354,0.75,400,0.014845609664916992
225,15947.106877596778,0.75,702,0.025970458984375
226,16952.596051441335,0.75,770,0.030785560607910156
227,22269.913064011296,0.75,643,0.025245189666748047
228,17898.90024658939,0.75,349,0.012743711471557617
229,25451.95513079813,0.75,6495,0.16622638702392578
230,21442.82282836756,0.75,2967,0.0542604923248291
231,22866.662767526723,0.75,702,0.011327028274536133
232,29421.98039366646,0.75,1528,0.024515390396118164
233,28416.31998802142,0.75,1299,0.021112442016601562
234,32482.094148988665,0.75,1461,0.032532453536987305
235,30439.878482379267,0.75,1181,0.03302502632141113
236,36281.78295469264,0.75,1592,0.0266873836517334
237,44598.22215255488,0.75,2461,0.0495915412902832
238,44430.80793075602,0.75,2547,0.06497406959533691
239,44235.6972749866,0.75,523,0.013590335845947266
240,46225.36643657666,0.75,960,0.01575493812561035
241,43300.752663192725,0.75,1384,0.0240938663482666
242,51779.40865533454,0.75,443,0.0075223445892333984
243,48617.3100197145,0.75,1782,0.029662370681762695
244,43795.82812082818,0.75,1170,0.019084692001342773
245,56007.08648827573,0.75,1516,0.025162696838378906
246,63375.48297169563,0.75,610,0.009959220886230469
247,60020.05025725486,0.75,593,0.009623527526855469
248,55493.78230711984,0.75,35296,0.7356212139129639
249,65691.75405908842,0.75,2897,0.04868626594543457
250,70651.57771927558,0.75,17121,0.35610055923461914
251,68720.84797851573,0.75,5141,0.17761802673339844
252,89196.90706656872,0.75,1513,0.024991273880004883
253,79303.0433598429,0.75,1500,0.024326324462890625
254,63349.11791913951,0.75,830,0.014246702194213867
255,81263.30013437448,0.75,1671,0.02776026725769043
256,78197.41573625033,0.75,2643,0.04347634315490723
257,75342.32508211334,0.75,754,0.012561321258544922
258,97759.56200277428,0.75,3143,0.05822634696960449
259,93491.66435369175,0.75,1225,0.020775318145751953
260,82757.73824998751,0.75,888,0.014925241470336914
261,100222.89322979488,0.75,789,0.013109445571899414
262,94324.77363040773,0.75,1305,0.021475553512573242
263,114779.97945419914,0.75,823,0.013472557067871094
264,123855.97005796654,0.75,2018,0.033006906509399414
265,112881.37768309392,0.75,867,0.014117002487182617
266,101807.21241214182,0.75,829,0.013792037963867188
267,119184.15891764652,0.75,3015,0.0702974796295166
268,120823.88937780198,0.75,2024,0.03414416313171387
269,103765.01338364932,0.75,436,0.007297992706298828
270,120845.29258845268,0.75,3190,0.11556506156921387
271,160969.831277606,0.75,781,0.0301206111907959
272,152176.41098457723,0.75,1241,0.04578089714050293
273,142301.88553298527,0.75,6042,0.22045230865478516
274,148110.64418963238,0.75,1504,0.05497550964355469
275,148112.2485348474,0.75,1283,0.05433320999145508
276,158142.71136584843,0.75,870,0.03185606002807617
277,177328.1846003543,0.75,3695,0.1324934959411621
278,155587.11073547354,0.75,70920,1.4286675453186035
279,144442.71623412424,0.75,2420,0.04112744331359863
280,149376.98800776032,0.75,4734,0.09597396850585938
281,170418.35140165203,0.75,3132,0.06012988090515137
282,150730.83413742695,0.75,10190,0.1896984577178955
283,169217.22667594525,0.75,5271,0.14977788925170898
284,163505.22215288918,0.75,779,0.012712717056274414
285,176709.622809962,0.75,1106,0.03300166130065918
286,185721.75304296688,0.75,1395,0.024747371673583984
287,244590.2456101976,0.75,1179,0.01944422721862793
288,207626.6687354229,0.75,2170,0.035491943359375
289,188212.0134939497,0.75,445,0.007294654846191406
290,230315.8144048959,0.75,2008,0.04397773742675781
291,224615.3735982258,0.75,1367,0.02265763282775879
292,223463.51116008693,0.75,2908,0.05420255661010742
293,188823.3652396909,0.75,1505,0.0251767635345459
294,238622.3307053795,0.75,2636,0.043181419372558594
295,207126.78101130005,0.75,2060,0.033392906188964844
296,204013.8868348868,0.75,858,0.0162198543548584
297,220471.82244227792,0.75,567,0.009165287017822266
298,278204.0083830989,0.75,1482,0.024068355560302734
299,339131.4913032096,0.75,699,0.011339664459228516
300,25.91211218391877,0.99,281,0.004580497741699219
301,114.9028816141618,0.99,633,0.010260820388793945
302,231.3491313703673,0.99,647,0.010774612426757812
303,419.515993577398,0.99,379,0.006214618682861328
304,657.7491853432172,0.99,622,0.01538991928100586
305,857.6877459648322,0.99,707,0.020966053009033203
306,1483.8273551191069,0.99,7228,0.17954230308532715
307,2030.7927391811345,0.99,458,0.00810384750366211
308,2117.6608559459,0.99,184,0.003059864044189453
309,2735.6513281345874,0.99,1068,0.018526315689086914
310,3231.856718710456,0.99,776,0.012734174728393555
311,3320.067373794032,0.99,615,0.010101556777954102
312,4044.9189198031327,0.99,929,0.015195369720458984
313,4541.979730787354,0.99,2365,0.058487892150878906
314,5358.327269968615,0.99,298,0.010833024978637695
315,7158.959193446376,0.99,518,0.01936507225036621
316,7877.898881542444,0.99,284,0.011437416076660156
317,8992.498293699038,0.99,650,0.023995161056518555
318,9424.779561917385,0.99,398,0.006632328033447266
319,10671.350946713224,0.99,4491,0.07440471649169922
320,10861.256262531591,0.99,495,0.00815892219543457
321,11751.706248520317,0.99,296,0.004850625991821289
322,12800.039012785635,0.99,1545,0.03715801239013672
323,17306.77911561314,0.99,441,0.007241725921630859
324,15572.16801761354,0.99,250,0.004107475280761719
325,15947.106877596778,0.99,505,0.008291244506835938
326,16952.596051441335,0.99,558,0.009191751480102539
327,22269.913064011296,0.99,590,0.009698867797851562
328,17898.90024658939,0.99,258,0.004221916198730469
329,25451.95513079813,0.99,3029,0.05598759651184082
330,21442.82282836756,0.99,2563,0.043387651443481445
331,22866.662767526723,0.99,371,0.0065441131591796875
332,29421.98039366646,0.99,1261,0.020889759063720703
333,28416.31998802142,0.99,820,0.013993024826049805
334,32482.094148988665,0.99,1299,0.021393299102783203
335,30439.878482379267,0.99,821,0.013820886611938477
336,36281.78295469264,0.99,1032,0.01705145835876465
337,44598.22215255488,0.99,1327,0.021920442581176758
338,44430.80793075602,0.99,2058,0.034104108810424805
339,44235.6972749866,0.99,521,0.014741659164428711
340,46225.36643657666,0.99,715,0.01179051399230957
341,43300.752663192725,0.99,1385,0.022737503051757812
342,51779.40865533454,0.99,430,0.007052183151245117
343,48617.3100197145,0.99,1302,0.021464824676513672
344,43795.82812082818,0.99,485,0.007955551147460938
345,56007.08648827573,0.99,1522,0.02500176429748535
346,63375.48297169563,0.99,661,0.018021583557128906
347,60020.05025725486,0.99,664,0.010937213897705078
348,55493.78230711984,0.99,18511,0.5897629261016846
349,65691.75405908842,0.99,3692,0.06310248374938965
